ACTIVITY DATE,BUSINESS UNIT,VOLUME - HANDLED,TOTAL TIME - AHT (sec),AHT CALC,Sum of PRODUCTIVE TIME - ACTUAL (hrs),Sum of PRODUCTIVE TIME - SCHEDULED (hrs),Conformance CALC,Attrition,EOM Headcount,Attrition % CALC,System Outage (hrs),Unplanned out,Shrinkage,Regular Scheduled Time (no OT),Unplanned out % CALC,Shrinkage % CALC
1/19/2019,WISE,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/20/2019,Client Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/20/2019,Participant Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/20/2019,RAM,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/20/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/20/2019,RIS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/20/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/20/2019,WISE,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/21/2019,Client Transactions,808,252579,312.5977723,57.40527778,81.33333335,0.705802596,0,0,,0,0,69.83333333,151.1666667,0%,46%
1/21/2019,Participant Transactions,2083,749933,360.0254441,176.8613889,196.8333334,0.898533728,0,0,,0,0,82,284.3333333,0%,29%
1/21/2019,RAM,2345,1758663,749.9628998,239.4530555,313.75,0.76319699,0,0,,0,36,180,501.75,7%,36%
1/21/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,10.5,55.75,128.25,8%,43%
1/21/2019,RIS,1438,766454,533,322.5758333,336.0000001,0.960047123,0,0,,1.25,42,103,459,9%,22%
1/21/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,39.5,87.91666667,377.25,10%,23%
1/21/2019,WISE,5143,2629236,511.2261326,1178.795556,1226.416667,0.961170528,0,0,,0,178,496.6666667,1991,9%,25%
1/22/2019,Client Transactions,2323,828593,356.6909169,177.8625,195.0833334,0.911725758,0,0,,0,46.75,185.4166667,380.5,12%,49%
1/22/2019,Participant Transactions,2522,1171100,464.3536875,262.9697222,287.1666668,0.915739021,0,0,,0,66.5,215.3333333,550.5,12%,39%
1/22/2019,RAM,1999,1849771,925.3481741,403.1588889,422.2500001,0.954787185,0,0,,0,71.25,239.75,688.5,10%,35%
1/22/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,42.75,97.58333333,176.25,24%,55%
1/22/2019,RIS,2558,1470850,575,445.7808333,461.6666667,0.965590253,0,0,,0,148.75,254.3333333,802.75,19%,32%
1/22/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,100.25,273.25,619.75,16%,44%
1/22/2019,WISE,9027,4849374,537.2077102,1398.134722,1485.916667,0.940924046,0,0,,0,440.25,673,2172.916667,20%,31%
1/23/2019,Client Transactions,2509,875737,349.0382623,24.19638889,44.25000002,0.546811048,0,0,,0,16,164,392,4%,42%
1/23/2019,Participant Transactions,2737,1250674,456.9506759,316.8386111,339.1666668,0.934167895,0,0,,0,22.25,186.25,544.5,4%,34%
1/23/2019,RAM,2189,1869799,854.179534,343.1155556,357.5833334,0.959540123,0,0,,0,51.25,310.9166667,704,7%,44%
1/23/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,19.75,85,174.25,11%,49%
1/23/2019,RIS,2476,1403892,567,462.0677778,484.3333333,0.954028447,0,0,,0,74,203.3333333,805.75,9%,25%
1/23/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,55.5,286.6666667,648.5,9%,44%
1/23/2019,WISE,8283,4287044,517.5714113,1579.812222,1685.366666,0.937370042,0,0,,0,144.75,505.75,2219.5,7%,23%
1/24/2019,Client Transactions,2610,949223,363.6869732,22.49055555,22.25,1.010811486,0,0,,0,18,158,392,5%,40%
1/24/2019,Participant Transactions,2563,1123136,438.2114709,286.0880556,340.4166668,0.840405549,0,0,,0,13.5,184.5833333,562.5,2%,33%
1/24/2019,RAM,1885,1782065,945.3925729,265.1183334,276.0833333,0.960283731,0,0,,0,78.16666667,322.1666667,711.5,11%,45%
1/24/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,17.5,75,174.6666667,10%,43%
1/24/2019,RIS,2257,1306803,579,498.3894444,521.2499999,0.956142819,0,0,,0,60.25,183.25,815,7%,22%
1/24/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0.416666667,56.91666667,269.4166667,640.6666667,9%,42%
1/24/2019,WISE,7406,3911333,528.1302998,1338.381667,1425.383333,0.938962618,0,0,,0.45,147,525.7833333,2226.75,7%,24%
1/25/2019,Client Transactions,3081,800568,259.8403116,183.9358333,251.25,0.732082919,0,0,,0,21.5,140.75,392,5%,36%
1/25/2019,Participant Transactions,2305,1187617,515.235141,284.1977778,318.0833334,0.893469566,0,0,,0,18.16666667,175.5,535.5,3%,33%
1/25/2019,RAM,2019,1757285,870.3739475,347.5063889,354.5,0.980271901,0,0,,0,50.5,299,696.5,7%,43%
1/25/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,8,64.25,167.25,5%,38%
1/25/2019,RIS,2371,1379922,582,474.8811111,497.4166667,0.954694812,0,0,,0,93.75,226.75,810.5,12%,28%
1/25/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,60.5,295,633.5,10%,47%
1/25/2019,WISE,7433,3963934,533.288578,1321.23,1395,0.94711828,0,0,,0,275.5833333,669.5833333,2198.25,13%,30%
1/26/2019,Client Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/26/2019,Participant Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/26/2019,RAM,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/26/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/26/2019,RIS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/26/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/26/2019,WISE,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/27/2019,Client Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/27/2019,Participant Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/27/2019,RAM,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/27/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/27/2019,RIS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/27/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/27/2019,WISE,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/28/2019,Client Transactions,3615,849290,234.9349931,199.2347222,262.0833333,0.760196078,0,0,,0,21.75,129.9166667,392,6%,33%
1/28/2019,Participant Transactions,3755,1713043,456.2031957,415.24,446.2500001,0.930509804,0,0,,0,20,112.5,566.25,4%,20%
1/28/2019,RAM,2971,2507942,844.1406934,476.7508334,499.0833334,0.955252964,0,0,,0,31,192.1666667,714,4%,27%
1/28/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,17.83333333,74.16666667,171.5,10%,43%
1/28/2019,RIS,2819,1781608,632,476.5086111,530.1166666,0.898874986,0,0,,0,67,185.25,677.5,10%,27%
1/28/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,76.25,234.5,646,12%,36%
1/28/2019,WISE,9331,4967687,532.3852749,1576.7925,1669.75,0.944328492,0,0,,0,302.5,588.9166667,2262.166667,13%,26%
1/29/2019,Client Transactions,2992,792799,264.9729278,185.6855556,249.5833333,0.743982193,0,0,,0,8,130,384,2%,34%
1/29/2019,Participant Transactions,2429,1264447,520.562783,260.2805556,291.3333334,0.893411518,0,0,,0,19.75,219.5,564.5,3%,39%
1/29/2019,RAM,1838,1695302,922.3623504,317.9105556,345.25,0.920812616,0,0,,0,74.25,289,695.5,11%,42%
1/29/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,9.25,65.83333333,171.75,5%,38%
1/29/2019,RIS,2510,1573770,627,409.1169444,448.75,0.911681213,0,0,,0,102.5,245.5,675.5,15%,36%
1/29/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,77.5,310.0833333,653,12%,47%
1/29/2019,WISE,7575,3868892,510.7448185,1402.974444,1470.583333,0.954025802,0,0,,1,198.5,565.8333333,2239.666667,9%,25%
