BUSINESS UNIT,year-month,last date of month,attrition,filled position,Attrition %
WISE,2020-03,3/31/2020,2,276,0.007246377
Client Transactions,2020-04,4/30/2020,2,42,0.047619048
Participant Transactions,2020-04,4/30/2020,2,60,0.033333333
RAM,2020-04,4/30/2020,2,85,0.023529412
RCS PHONES,2020-04,4/30/2020,2,18,0.111111111
RIS,2020-04,4/30/2020,2,112,0.017857143
SCS,2020-04,4/30/2020,2,0,#DIV/0!
WISE,2020-04,4/30/2020,2,269,0.007434944
Client Transactions,2020-05,5/31/2020,2,41,0.048780488
Participant Transactions,2020-05,5/31/2020,2,61,0.032786885
RAM,2020-05,5/31/2020,2,90,0.022222222
RCS PHONES,2020-05,5/31/2020,2,20,0.1
RIS,2020-05,5/31/2020,2,121,0.016528926
SCS,2020-05,5/31/2020,2,0,#DIV/0!
WISE,2020-05,5/31/2020,2,267,0.007490637
Client Transactions,2020-06,6/30/2020,2,41,0.048780488
Participant Transactions,2020-06,6/30/2020,2,59,0.033898305
RAM,2020-06,6/30/2020,2,90,0.022222222
RCS PHONES,2020-06,6/30/2020,2,20,0.1
RIS,2020-06,6/30/2020,2,117,0.017094017
SCS,2020-06,6/30/2020,2,0,#DIV/0!
WISE,2020-06,6/30/2020,2,262,0.007633588
Client Transactions,2020-07,7/31/2020,2,42,0.047619048
Participant Transactions,2020-07,7/31/2020,2,71,0.028169014
RAM,2020-07,7/31/2020,2,89,0.02247191
RCS PHONES,2020-07,7/31/2020,2,20,0.1
RIS,2020-07,7/31/2020,2,112,0.017857143
SCS,2020-07,7/31/2020,2,0,#DIV/0!
WISE,2020-07,7/31/2020,2,248,0.008064516
Client Transactions,2020-08,8/31/2020,2,41,0.048780488
Participant Transactions,2020-08,8/31/2020,2,68,0.029411765
RAM,2020-08,8/31/2020,2,88,0.022727273
RCS PHONES,2020-08,8/31/2020,2,21,0.095238095
RIS,2020-08,8/31/2020,2,100,0.02
SCS,2020-08,8/31/2020,2,0,#DIV/0!
WISE,2020-08,8/31/2020,2,266,0.007518797
Client Transactions,2020-09,9/30/2020,2,41,0.048780488
Participant Transactions,2020-09,9/30/2020,2,67,0.029850746
RAM,2020-09,9/30/2020,2,103,0.019417476
RCS PHONES,2020-09,9/30/2020,2,22,0.090909091
RIS,2020-09,9/30/2020,2,94,0.021276596
SCS,2020-09,9/30/2020,2,0,#DIV/0!
WISE,2020-09,9/30/2020,2,283,0.007067138
Client Transactions,2020-10,10/31/2020,2,42,0.047619048
Participant Transactions,2020-10,10/31/2020,2,63,0.031746032
RAM,2020-10,10/31/2020,2,100,0.02
RCS PHONES,2020-10,10/31/2020,2,21,0.095238095
RIS,2020-10,10/31/2020,2,87,0.022988506
SCS,2020-10,10/31/2020,2,0,#DIV/0!
WISE,2020-10,10/31/2020,2,279,0.007168459
Client Transactions,2020-11,11/30/2020,2,43,0.046511628
Participant Transactions,2020-11,11/30/2020,2,61,0.032786885
RAM,2020-11,11/30/2020,2,98,0.020408163
RCS PHONES,2020-11,11/30/2020,2,22,0.090909091
RIS,2020-11,11/30/2020,2,79,0.025316456
SCS,2020-11,11/30/2020,2,0,#DIV/0!
WISE,2020-11,11/30/2020,2,283,0.007067138
Client Transactions,2020-12,12/7/2020,2,0,#DIV/0!
Participant Transactions,2020-12,12/7/2020,2,0,#DIV/0!
RAM,2020-12,12/7/2020,2,0,#DIV/0!
RCS PHONES,2020-12,12/7/2020,2,0,#DIV/0!
RIS,2020-12,12/7/2020,2,0,#DIV/0!
SCS,2020-12,12/7/2020,2,0,#DIV/0!
WISE,2020-12,12/7/2020,2,0,#DIV/0!
