,date,month,year,bu,Conformance CALC,System Outage (hrs),Unplanned out % CALC,Shrinkage % CALC,aht,Attrition %
144,2019-01-21,January,2019,RIS,0.960047123,1.25,9%,22%,533.0,0.015873016
145,2019-01-21,January,2019,SCS,#DIV/0!,0.0,10%,23%,,
146,2019-01-21,January,2019,WISE,0.961170528,0.0,9%,25%,511.2261326074276,0.007194245
147,2019-01-22,January,2019,Client Transactions,0.911725758,0.0,12%,49%,356.69091691777874,0.042553191
148,2019-01-22,January,2019,Participant Transactions,0.915739021,0.0,12%,39%,464.35368754956386,0.033898305
149,2019-01-22,January,2019,RAM,0.954787185,0.0,10%,35%,925.3481740870435,0.02247191
150,2019-01-22,January,2019,RCS PHONES,#DIV/0!,0.0,24%,55%,,0.1
151,2019-01-22,January,2019,RIS,0.965590253,0.0,19%,32%,575.0,0.015873016
152,2019-01-22,January,2019,SCS,#DIV/0!,0.0,16%,44%,,
153,2019-01-22,January,2019,WISE,0.940924046,0.0,20%,31%,537.2077102027251,0.007194245
154,2019-01-23,January,2019,Client Transactions,0.546811048,0.0,4%,42%,349.03826225587886,0.042553191
155,2019-01-23,January,2019,Participant Transactions,0.934167895,0.0,4%,34%,456.9506759225429,0.033898305
156,2019-01-23,January,2019,RAM,0.959540123,0.0,7%,44%,854.1795340338053,0.02247191
157,2019-01-23,January,2019,RCS PHONES,#DIV/0!,0.0,11%,49%,,0.1
158,2019-01-23,January,2019,RIS,0.954028447,0.0,9%,25%,567.0,0.015873016
159,2019-01-23,January,2019,SCS,#DIV/0!,0.0,9%,44%,,
160,2019-01-23,January,2019,WISE,0.937370042,0.0,7%,23%,517.5714113243994,0.007194245
161,2019-01-24,January,2019,Client Transactions,1.010811486,0.0,5%,40%,363.6869731800766,0.042553191
162,2019-01-24,January,2019,Participant Transactions,0.840405549,0.0,2%,33%,438.21147093250096,0.033898305
163,2019-01-24,January,2019,RAM,0.960283731,0.0,11%,45%,945.3925729442971,0.02247191
164,2019-01-24,January,2019,RCS PHONES,#DIV/0!,0.0,10%,43%,,0.1
165,2019-01-24,January,2019,RIS,0.956142819,0.0,7%,22%,579.0,0.015873016
166,2019-01-24,January,2019,SCS,#DIV/0!,0.41666666700000005,9%,42%,,
167,2019-01-24,January,2019,WISE,0.938962618,0.45,7%,24%,528.1302997569538,0.007194245
168,2019-01-25,January,2019,Client Transactions,0.732082919,0.0,5%,36%,259.840311587147,0.042553191
169,2019-01-25,January,2019,Participant Transactions,0.893469566,0.0,3%,33%,515.2351409978309,0.033898305
170,2019-01-25,January,2019,RAM,0.980271901,0.0,7%,43%,870.3739474987617,0.02247191
171,2019-01-25,January,2019,RCS PHONES,#DIV/0!,0.0,5%,38%,,0.1
172,2019-01-25,January,2019,RIS,0.954694812,0.0,12%,28%,582.0,0.015873016
173,2019-01-25,January,2019,SCS,#DIV/0!,0.0,10%,47%,,
174,2019-01-25,January,2019,WISE,0.94711828,0.0,13%,30%,533.2885779631374,0.007194245
189,2019-01-28,January,2019,Client Transactions,0.760196078,0.0,6%,33%,234.9349930843707,0.042553191
190,2019-01-28,January,2019,Participant Transactions,0.930509804,0.0,4%,20%,456.20319573901463,0.033898305
