date,month,year,bu,Conformance %,System Outage (hrs),Unplanned out %,Shrinkage %,aht,Attrition %
2019-02-07,February,2019,WISE,0.96733601,0.0,0.11,30.0,518.9127229839304,0.00729927
2019-02-08,February,2019,Client Transactions,0.8554479620000001,0.0,0.02,30.0,303.1619718309859,0.041666667
2019-02-08,February,2019,Participant Transactions,0.812564168,0.0,0.09,34.0,459.1351247600768,0.040816327
2019-02-08,February,2019,RAM,0.866967497,0.0,0.08,35.0,882.122371967655,0.018867925
2019-02-08,February,2019,RCS PHONES,,0.0,0.07,40.0,,0.076923077
2019-02-08,February,2019,RIS,0.9398589940000001,0.0,0.1,27.0,572.0,0.018518519
2019-02-08,February,2019,SCS,,0.0,0.07,35.0,,
2019-02-08,February,2019,WISE,0.94483762,0.0,0.08,30.0,539.0253880748586,0.00729927
2019-02-11,February,2019,Client Transactions,0.8462565129999999,0.0,0.05,35.0,286.75541795665634,0.041666667
2019-02-11,February,2019,Participant Transactions,0.8628141659999999,0.0,0.12,29.0,428.2977447901798,0.040816327
2019-02-11,February,2019,RAM,0.936607485,0.0,0.09,26.0,849.3725490196078,0.018867925
2019-02-11,February,2019,RCS PHONES,,0.0,0.11,47.0,,0.076923077
2019-02-11,February,2019,RIS,0.967862412,0.0,0.11,24.0,622.0,0.018518519
2019-02-11,February,2019,SCS,,0.0,0.14,33.0,,
2019-02-11,February,2019,WISE,0.9204737479999999,0.0,0.17,32.0,538.8421405429561,0.00729927
2019-02-12,February,2019,Client Transactions,0.7554054370000001,0.0,0.07,38.0,306.5483319076133,0.041666667
2019-02-12,February,2019,Participant Transactions,0.8219842279999999,0.0,0.12,31.0,460.04583975346685,0.040816327
2019-02-12,February,2019,RAM,0.9208676379999999,0.0,0.04,32.0,1006.6452896948254,0.018867925
2019-02-12,February,2019,RCS PHONES,,0.0,0.09,39.0,,0.076923077
2019-02-12,February,2019,RIS,0.965433468,0.0,0.08,25.0,590.0,0.018518519
2019-02-12,February,2019,SCS,,0.0,0.09,35.0,,
