ACTIVITY DATE,DIVISION,BUSINESS UNIT,BUSINESS LINE,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST,
2/10/2019,College Savings,College Savings,CS Alaska,,,0,0,
2/10/2019,College Savings,College Savings,CS John Hancock,,,0,0,
2/10/2019,College Savings,College Savings,CS Maryland,,,0,0,
2/10/2019,College Savings,College Savings,CS National,,,0,0,
2/10/2019,II Services and Operations,RIS,RIS,0,,0,0,
2/10/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
2/10/2019,II Services and Operations,SCS,BRO,,,0,0,
2/10/2019,II Services and Operations,SCS,PSG,,,0,0,
2/11/2019,WISE,WISE,WISE Contractual,3705113,,6985,6707,
2/11/2019,College Savings,College Savings,CS Alaska,26901,,50,60,
2/11/2019,College Savings,College Savings,CS John Hancock,167958,,438,390,
2/11/2019,College Savings,College Savings,CS Maryland,191208,,382,362,
2/11/2019,College Savings,College Savings,CS National,64801,,139,149,
2/11/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
2/11/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
2/11/2019,College Savings,CS - Direct Sold,CS National,,,,,
2/11/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
2/11/2019,II Services and Operations,RIS,RIS,1322404,,3179,2977,
2/11/2019,II Services and Operations,RCS PHONES,RCS PHONES,190156,,486,532,
2/11/2019,II Services and Operations,SCS,BRO,287680,,571,597,
2/11/2019,II Services and Operations,SCS,PSG,893772,,1718,1418,
2/11/2019,II Services and Operations,SCS,BRO-Complex,,,,,
2/12/2019,WISE,WISE,WISE Contractual,2880720,,5548,5466,
2/12/2019,College Savings,College Savings,CS Alaska,14800,,40,38,
2/12/2019,College Savings,College Savings,CS John Hancock,121342,,341,377,
2/12/2019,College Savings,College Savings,CS Maryland,121002,,258,275,
2/12/2019,College Savings,College Savings,CS National,53160,,121,117,
2/12/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
2/12/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
2/12/2019,College Savings,CS - Direct Sold,CS National,,,,,
2/12/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
2/12/2019,II Services and Operations,RIS,RIS,1107185,,2720,2377,
2/12/2019,II Services and Operations,RCS PHONES,RCS PHONES,202122,,400,442,
2/12/2019,II Services and Operations,SCS,BRO,267443,,530,513,
2/12/2019,II Services and Operations,SCS,PSG,745600,,1375,1087,
2/12/2019,II Services and Operations,SCS,BRO-Complex,,,,,
2/13/2019,WISE,WISE,WISE Contractual,2780588,,5086,4961,
2/13/2019,College Savings,College Savings,CS Alaska,21629,,43,45,
2/13/2019,College Savings,College Savings,CS John Hancock,118976,,339,289,
2/13/2019,College Savings,College Savings,CS Maryland,86526,,201,250,
2/13/2019,College Savings,College Savings,CS National,45047,,108,116,
2/13/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
2/13/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
2/13/2019,College Savings,CS - Direct Sold,CS National,,,,,
2/13/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
2/13/2019,II Services and Operations,RIS,RIS,991747,,2074,2118,
2/13/2019,II Services and Operations,RCS PHONES,RCS PHONES,196137,,374,413,
2/13/2019,II Services and Operations,SCS,BRO,241395,,470,469,
2/13/2019,II Services and Operations,SCS,PSG,689280,,1134,896,
2/13/2019,II Services and Operations,SCS,BRO-Complex,,,,,
2/14/2019,WISE,WISE,WISE Contractual,2372827,,4340,4686,
2/14/2019,College Savings,College Savings,CS Alaska,16506,,42,37,
2/14/2019,College Savings,College Savings,CS John Hancock,103480,,260,289,
2/14/2019,College Savings,College Savings,CS Maryland,96884,,216,193,
2/14/2019,College Savings,College Savings,CS National,48576,,100,101,
2/14/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
2/14/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
2/14/2019,College Savings,CS - Direct Sold,CS National,,,,,
2/14/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
2/14/2019,II Services and Operations,RIS,RIS,845602,,1695,2036,
2/14/2019,II Services and Operations,RCS PHONES,RCS PHONES,163404,,315,387,
2/14/2019,II Services and Operations,SCS,BRO,228660,,441,461,
2/14/2019,II Services and Operations,SCS,PSG,545376,,906,841,
2/14/2019,II Services and Operations,SCS,BRO-Complex,,,,,
2/15/2019,WISE,WISE,WISE Contractual,2764569,,5023,4708,
2/15/2019,College Savings,College Savings,CS Alaska,14945,,36,31,
2/15/2019,College Savings,College Savings,CS John Hancock,95115,,255,267,
2/15/2019,College Savings,College Savings,CS Maryland,117612,,243,225,
2/15/2019,College Savings,College Savings,CS National,43316,,101,94,
2/15/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
2/15/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
2/15/2019,College Savings,CS - Direct Sold,CS National,,,,,
2/15/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
2/15/2019,II Services and Operations,RIS,RIS,1114166,,2033,2001,
2/15/2019,II Services and Operations,RCS PHONES,RCS PHONES,210800,,371,379,
2/15/2019,II Services and Operations,SCS,BRO,259644,,483,471,
2/15/2019,II Services and Operations,SCS,PSG,629130,,1040,1076,
2/15/2019,II Services and Operations,SCS,BRO-Complex,,,,,
2/16/2019,WISE,WISE,WISE Contractual,,,0,0,
2/16/2019,College Savings,College Savings,CS Alaska,,,0,0,
2/16/2019,College Savings,College Savings,CS John Hancock,,,0,0,
2/16/2019,College Savings,College Savings,CS Maryland,,,0,0,
2/16/2019,College Savings,College Savings,CS National,,,0,0,
2/16/2019,II Services and Operations,RIS,RIS,0,,0,0,
2/16/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
2/16/2019,II Services and Operations,SCS,BRO,,,0,0,
2/16/2019,II Services and Operations,SCS,PSG,,,0,0,
2/17/2019,WISE,WISE,WISE Contractual,,,0,0,
2/17/2019,College Savings,College Savings,CS Alaska,,,0,0,
2/17/2019,College Savings,College Savings,CS John Hancock,,,0,0,
2/17/2019,College Savings,College Savings,CS Maryland,,,0,0,
2/17/2019,College Savings,College Savings,CS National,,,0,0,
2/17/2019,II Services and Operations,RIS,RIS,0,,0,0,
2/17/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
2/17/2019,II Services and Operations,SCS,BRO,,,0,0,
2/17/2019,II Services and Operations,SCS,PSG,,,0,0,
2/18/2019,WISE,WISE,WISE Contractual,1581195,,2871,3712,
2/18/2019,College Savings,College Savings,CS Alaska,0,,0,0,
2/18/2019,College Savings,College Savings,CS John Hancock,0,,0,0,
2/18/2019,College Savings,College Savings,CS Maryland,0,,0,0,
2/18/2019,College Savings,College Savings,CS National,0,,0,0,
2/18/2019,II Services and Operations,RIS,RIS,0,,0,0,
2/18/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
2/18/2019,II Services and Operations,SCS,BRO,0,,0,0,
2/18/2019,II Services and Operations,SCS,PSG,0,,0,0,
2/19/2019,WISE,WISE,WISE Contractual,3549390,,6355,6458,
2/19/2019,College Savings,College Savings,CS Alaska,22300,,50,63,
2/19/2019,College Savings,College Savings,CS John Hancock,179550,,477,439,
2/19/2019,College Savings,College Savings,CS Maryland,167865,,369,318,
2/19/2019,College Savings,College Savings,CS National,71225,,180,166,
2/19/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
2/19/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
2/19/2019,College Savings,CS - Direct Sold,CS National,,,,,
2/19/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
2/19/2019,II Services and Operations,RIS,RIS,1614183,,3689,2897,
2/19/2019,II Services and Operations,RCS PHONES,RCS PHONES,260631,,600,546,
2/19/2019,II Services and Operations,SCS,BRO,379561,,816,586,
2/19/2019,II Services and Operations,SCS,PSG,1093757,,2001,1372,
2/19/2019,II Services and Operations,SCS,BRO-Complex,,,,,
2/20/2019,WISE,WISE,WISE Contractual,3110400,,5531,5770,
2/20/2019,College Savings,College Savings,CS Alaska,20553,,40,55,
2/20/2019,College Savings,College Savings,CS John Hancock,125430,,341,393,
2/20/2019,College Savings,College Savings,CS Maryland,150670,,316,314,
2/20/2019,College Savings,College Savings,CS National,64375,,135,141,
2/20/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
2/20/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
2/20/2019,College Savings,CS - Direct Sold,CS National,,,,,
2/20/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
2/20/2019,II Services and Operations,RIS,RIS,1056539,,3123,2696,
2/20/2019,II Services and Operations,RCS PHONES,RCS PHONES,236340,,581,421,
2/20/2019,II Services and Operations,SCS,BRO,299676,,569,512,
2/20/2019,II Services and Operations,SCS,PSG,722473,,1553,1168,
2/20/2019,II Services and Operations,SCS,BRO-Complex,,,,,
2/21/2019,WISE,WISE,WISE Contractual,2703240,,5079,5201,
2/21/2019,College Savings,College Savings,CS Alaska,22748,,47,55,
2/21/2019,College Savings,College Savings,CS John Hancock,130472,,348,364,
2/21/2019,College Savings,College Savings,CS Maryland,97712,,249,255,
2/21/2019,College Savings,College Savings,CS National,35328,,96,136,
2/21/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
2/21/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
2/21/2019,College Savings,CS - Direct Sold,CS National,,,,,
2/21/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
2/21/2019,II Services and Operations,RIS,RIS,1074904,,2203,2118,
2/21/2019,II Services and Operations,RCS PHONES,RCS PHONES,177561,,352,387,
2/21/2019,II Services and Operations,SCS,BRO,266900,,464,471,
2/21/2019,II Services and Operations,SCS,PSG,669194,,1107,1057,
2/21/2019,II Services and Operations,SCS,BRO-Complex,,,,,
2/22/2019,WISE,WISE,WISE Contractual,2888556,,5309,5190,
2/22/2019,College Savings,College Savings,CS Alaska,16613,,37,43,
2/22/2019,College Savings,College Savings,CS John Hancock,112167,,311,320,
2/22/2019,College Savings,College Savings,CS Maryland,119301,,247,288,
2/22/2019,College Savings,College Savings,CS National,49813,,109,129,
2/22/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
2/22/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
2/22/2019,College Savings,CS - Direct Sold,CS National,,,,,
2/22/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
2/22/2019,II Services and Operations,RIS,RIS,1031647,,2469,2211,
2/22/2019,II Services and Operations,RCS PHONES,RCS PHONES,186038,,401,398,
2/22/2019,II Services and Operations,SCS,BRO,300792,,519,478,
2/22/2019,II Services and Operations,SCS,PSG,655632,,1126,1137,
2/22/2019,II Services and Operations,SCS,BRO-Complex,,,,,
2/23/2019,WISE,WISE,WISE Contractual,,,0,0,
2/23/2019,College Savings,College Savings,CS Alaska,,,0,0,
2/23/2019,College Savings,College Savings,CS John Hancock,,,0,0,
2/23/2019,College Savings,College Savings,CS Maryland,,,0,0,
2/23/2019,College Savings,College Savings,CS National,,,0,0,
2/23/2019,II Services and Operations,RIS,RIS,0,,0,0,
2/23/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
2/23/2019,II Services and Operations,SCS,BRO,,,0,0,
2/23/2019,II Services and Operations,SCS,PSG,,,0,0,
2/24/2019,WISE,WISE,WISE Contractual,,,0,0,
2/24/2019,College Savings,College Savings,CS Alaska,,,0,0,
2/24/2019,College Savings,College Savings,CS John Hancock,,,0,0,
2/24/2019,College Savings,College Savings,CS Maryland,,,0,0,
2/24/2019,College Savings,College Savings,CS National,,,0,0,
2/24/2019,II Services and Operations,RIS,RIS,0,,0,0,
2/24/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
2/24/2019,II Services and Operations,SCS,BRO,,,0,0,
2/24/2019,II Services and Operations,SCS,PSG,,,0,0,
2/25/2019,WISE,WISE,WISE Contractual,4112342,,7562,6786,
2/25/2019,College Savings,College Savings,CS Alaska,25676,,50,53,
2/25/2019,College Savings,College Savings,CS John Hancock,156822,,446,485,
2/25/2019,College Savings,College Savings,CS Maryland,144189,,338,416,
2/25/2019,College Savings,College Savings,CS National,71391,,162,159,
2/25/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
2/25/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
2/25/2019,College Savings,CS - Direct Sold,CS National,,,,,
2/25/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
2/25/2019,II Services and Operations,RIS,RIS,1571422,,3269,3182,
2/25/2019,II Services and Operations,RCS PHONES,RCS PHONES,262528,,617,512,
2/25/2019,II Services and Operations,SCS,BRO,303075,,755,542,
2/25/2019,II Services and Operations,SCS,PSG,934703,,1669,1575,
2/25/2019,II Services and Operations,SCS,BRO-Complex,,,,,
2/26/2019,WISE,WISE,WISE Contractual,3107046,,5789,5467,
2/26/2019,College Savings,College Savings,CS Alaska,23300,,50,43,
2/26/2019,College Savings,College Savings,CS John Hancock,119556,,371,378,
2/26/2019,College Savings,College Savings,CS Maryland,114258,,278,276,
2/26/2019,College Savings,College Savings,CS National,58086,,128,141,
2/26/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
2/26/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
2/26/2019,College Savings,CS - Direct Sold,CS National,,,,,
2/26/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
2/26/2019,II Services and Operations,RIS,RIS,1180192,,2330,2439,
2/26/2019,II Services and Operations,RCS PHONES,RCS PHONES,256280,,471,414,
2/26/2019,II Services and Operations,SCS,BRO,283465,,552,514,
2/26/2019,II Services and Operations,SCS,PSG,692419,,1103,1303,
2/26/2019,II Services and Operations,SCS,BRO-Complex,,,,,
2/27/2019,WISE,WISE,WISE Contractual,2985238,,5579,5244,
2/27/2019,College Savings,College Savings,CS Alaska,21340,,44,44,
2/27/2019,College Savings,College Savings,CS John Hancock,106876,,308,375,
2/27/2019,College Savings,College Savings,CS Maryland,50410,,142,132,
2/27/2019,College Savings,College Savings,CS National,44448,,97,122,
2/27/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
2/27/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
2/27/2019,College Savings,CS - Direct Sold,CS National,,,,,
2/27/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
2/27/2019,II Services and Operations,RIS,RIS,922675,,1835,2333,
2/27/2019,II Services and Operations,RCS PHONES,RCS PHONES,233050,,401,373,
2/27/2019,II Services and Operations,SCS,BRO,241864,,422,447,
2/27/2019,II Services and Operations,SCS,PSG,531920,,878,1189,
2/27/2019,II Services and Operations,SCS,BRO-Complex,,,,,
2/28/2019,WISE,WISE,WISE Contractual,2749585,,5383,5066,
2/28/2019,College Savings,College Savings,CS Alaska,15086,,38,44,
2/28/2019,College Savings,College Savings,CS John Hancock,104346,,306,287,
2/28/2019,College Savings,College Savings,CS Maryland,99450,,226,234,
2/28/2019,College Savings,College Savings,CS National,39699,,100,116,
2/28/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
2/28/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
2/28/2019,College Savings,CS - Direct Sold,CS National,,,,,
2/28/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
2/28/2019,II Services and Operations,RIS,RIS,1007058,,1824,2108,
2/28/2019,II Services and Operations,RCS PHONES,RCS PHONES,229030,,383,352,
2/28/2019,II Services and Operations,SCS,BRO,263114,,461,435,
2/28/2019,II Services and Operations,SCS,PSG,549195,,908,1111,
2/28/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/1/2019,WISE,WISE,WISE Contractual,2921465,,5388,5185,
3/1/2019,College Savings,College Savings,CS Alaska,16709,,31,38,
3/1/2019,College Savings,College Savings,CS John Hancock,89958,,286,284,
3/1/2019,College Savings,College Savings,CS Maryland,119408,,273,259,
3/1/2019,College Savings,College Savings,CS National,44676,,102,120,
3/1/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/1/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/1/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/1/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/1/2019,II Services and Operations,RIS,RIS,1169017,,1994,2076,
3/1/2019,II Services and Operations,RCS PHONES,RCS PHONES,220428,,400,367,
3/1/2019,II Services and Operations,SCS,BRO,254932,,522,438,
3/1/2019,II Services and Operations,SCS,PSG,686511,,1162,1172,
3/1/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/2/2019,WISE,WISE,WISE Contractual,,,,,
3/2/2019,College Savings,College Savings,CS Alaska,,,0,0,
3/2/2019,College Savings,College Savings,CS John Hancock,,,0,0,
3/2/2019,College Savings,College Savings,CS Maryland,,,0,0,
3/2/2019,College Savings,College Savings,CS National,,,0,0,
3/2/2019,II Services and Operations,RIS,RIS,0,,0,0,
3/2/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
3/2/2019,II Services and Operations,SCS,BRO,,,0,0,
3/2/2019,II Services and Operations,SCS,PSG,,,0,0,
3/3/2019,WISE,WISE,WISE Contractual,,,,,
3/3/2019,College Savings,College Savings,CS Alaska,,,0,0,
3/3/2019,College Savings,College Savings,CS John Hancock,,,0,0,
3/3/2019,College Savings,College Savings,CS Maryland,,,0,0,
3/3/2019,College Savings,College Savings,CS National,,,0,0,
3/3/2019,II Services and Operations,RIS,RIS,0,,0,0,
3/3/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
3/3/2019,II Services and Operations,SCS,BRO,,,0,0,
3/3/2019,II Services and Operations,SCS,PSG,,,0,0,
3/4/2019,WISE,WISE,WISE Contractual,3960240,,7988,7328,
3/4/2019,College Savings,College Savings,CS Alaska,22317,,43,50,
3/4/2019,College Savings,College Savings,CS John Hancock,118195,,386,438,
3/4/2019,College Savings,College Savings,CS Maryland,164864,,391,382,
3/4/2019,College Savings,College Savings,CS National,64896,,167,139,
3/4/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/4/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/4/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/4/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/4/2019,II Services and Operations,RIS,RIS,1589445,,3007,2985,
3/4/2019,II Services and Operations,RCS PHONES,RCS PHONES,267618,,537,529,
3/4/2019,II Services and Operations,SCS,BRO,316383,,878,551,
3/4/2019,II Services and Operations,SCS,PSG,877655,,1879,1554,
3/4/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/5/2019,WISE,WISE,WISE Contractual,3330910,,5961,5642,
3/5/2019,College Savings,College Savings,CS Alaska,13760,,32,42,
3/5/2019,College Savings,College Savings,CS John Hancock,114759,,313,375,
3/5/2019,College Savings,College Savings,CS Maryland,98982,,236,285,
3/5/2019,College Savings,College Savings,CS National,64326,,142,136,
3/5/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/5/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/5/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/5/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/5/2019,II Services and Operations,RIS,RIS,1234264,,2403,2418,
3/5/2019,II Services and Operations,RCS PHONES,RCS PHONES,260292,,457,439,
3/5/2019,II Services and Operations,SCS,BRO,334720,,582,473,
3/5/2019,II Services and Operations,SCS,PSG,740300,,1185,1286,
3/5/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/6/2019,WISE,WISE,WISE Contractual,3075864,,5453,5361,
3/6/2019,College Savings,College Savings,CS Alaska,21052,,38,43,
3/6/2019,College Savings,College Savings,CS John Hancock,99687,,304,339,
3/6/2019,College Savings,College Savings,CS Maryland,93096,,216,230,
3/6/2019,College Savings,College Savings,CS National,43044,,103,114,
3/6/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/6/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/6/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/6/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/6/2019,II Services and Operations,RIS,RIS,1079816,,2032,2171,
3/6/2019,II Services and Operations,RCS PHONES,RCS PHONES,202420,,369,411,
3/6/2019,II Services and Operations,SCS,BRO,301093,,496,433,
3/6/2019,II Services and Operations,SCS,PSG,672864,,1078,1173,
3/6/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/7/2019,WISE,WISE,WISE Contractual,2917888,,5314,5166,
3/7/2019,College Savings,College Savings,CS Alaska,8880,,20,43,
3/7/2019,College Savings,College Savings,CS John Hancock,101948,,312,282,
3/7/2019,College Savings,College Savings,CS Maryland,90695,,190,224,
3/7/2019,College Savings,College Savings,CS National,48760,,94,99,
3/7/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/7/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/7/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/7/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/7/2019,II Services and Operations,RIS,RIS,944269,,1890,2083,
3/7/2019,II Services and Operations,RCS PHONES,RCS PHONES,199404,,351,384,
3/7/2019,II Services and Operations,SCS,BRO,274342,,483,425,
3/7/2019,II Services and Operations,SCS,PSG,658812,,1021,1096,
3/7/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/8/2019,WISE,WISE,WISE Contractual,2758306,,5045,5150,
3/8/2019,College Savings,College Savings,CS Alaska,17216,,33,36,
3/8/2019,College Savings,College Savings,CS John Hancock,89693,,258,269,
3/8/2019,College Savings,College Savings,CS Maryland,100573,,223,244,
3/8/2019,College Savings,College Savings,CS National,41004,,104,103,
3/8/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/8/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/8/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/8/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/8/2019,II Services and Operations,RIS,RIS,915359,,1886,2102,
3/8/2019,II Services and Operations,RCS PHONES,RCS PHONES,234225,,393,377,
3/8/2019,II Services and Operations,SCS,BRO,287976,,485,435,
3/8/2019,II Services and Operations,SCS,PSG,697987,,1046,1156,
3/8/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/9/2019,WISE,WISE,WISE Contractual,,,0,0,
3/9/2019,College Savings,College Savings,CS Alaska,,,0,0,
3/9/2019,College Savings,College Savings,CS John Hancock,,,0,0,
3/9/2019,College Savings,College Savings,CS Maryland,,,0,0,
3/9/2019,College Savings,College Savings,CS National,,,0,0,
3/9/2019,II Services and Operations,RIS,RIS,0,,0,0,
3/9/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
3/9/2019,II Services and Operations,SCS,BRO,,,0,0,
3/9/2019,II Services and Operations,SCS,PSG,,,0,0,
3/10/2019,WISE,WISE,WISE Contractual,,,0,0,
3/10/2019,College Savings,College Savings,CS Alaska,,,0,0,
3/10/2019,College Savings,College Savings,CS John Hancock,,,0,0,
3/10/2019,College Savings,College Savings,CS Maryland,,,0,0,
3/10/2019,College Savings,College Savings,CS National,,,0,0,
3/10/2019,II Services and Operations,RIS,RIS,0,,0,0,
3/10/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
3/10/2019,II Services and Operations,SCS,BRO,,,0,0,
3/10/2019,II Services and Operations,SCS,PSG,,,0,0,
3/11/2019,WISE,WISE,WISE Contractual,3801072,,6933,7577,
3/11/2019,College Savings,College Savings,CS Alaska,23961,,50,47,
3/11/2019,College Savings,College Savings,CS John Hancock,132650,,389,381,
3/11/2019,College Savings,College Savings,CS Maryland,144606,,315,293,
3/11/2019,College Savings,College Savings,CS National,53845,,123,132,
3/11/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/11/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/11/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/11/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/11/2019,II Services and Operations,RIS,RIS,1300208,,2810,2968,
3/11/2019,II Services and Operations,RCS PHONES,RCS PHONES,287028,,550,551,
3/11/2019,II Services and Operations,SCS,BRO,394935,,601,621,
3/11/2019,II Services and Operations,SCS,PSG,993402,,1458,1521,
3/11/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/12/2019,WISE,WISE,WISE Contractual,2949540,,5445,5742,
3/12/2019,College Savings,College Savings,CS Alaska,18760,,40,45,
3/12/2019,College Savings,College Savings,CS John Hancock,109120,,312,314,
3/12/2019,College Savings,College Savings,CS Maryland,107380,,238,239,
3/12/2019,College Savings,College Savings,CS National,46556,,114,109,
3/12/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/12/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/12/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/12/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/12/2019,II Services and Operations,RIS,RIS,1040738,,2090,2372,
3/12/2019,II Services and Operations,RCS PHONES,RCS PHONES,262355,,388,457,
3/12/2019,II Services and Operations,SCS,BRO,350364,,563,533,
3/12/2019,II Services and Operations,SCS,PSG,726627,,1094,1258,
3/12/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/13/2019,WISE,WISE,WISE Contractual,2201040,,5514,5523,
3/13/2019,College Savings,College Savings,CS Alaska,12144,,34,42,
3/13/2019,College Savings,College Savings,CS John Hancock,114000,,313,264,
3/13/2019,College Savings,College Savings,CS Maryland,113000,,251,191,
3/13/2019,College Savings,College Savings,CS National,50456,,109,73,
3/13/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/13/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/13/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/13/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/13/2019,II Services and Operations,RIS,RIS,830741,,2261,2399,
3/13/2019,II Services and Operations,RCS PHONES,RCS PHONES,192168,,430,428,
3/13/2019,II Services and Operations,SCS,BRO,303807,,539,488,
3/13/2019,II Services and Operations,SCS,PSG,625292,,1042,1148,
3/13/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/14/2019,WISE,WISE,WISE Contractual,2618402,,5060,5241,
3/14/2019,College Savings,College Savings,CS Alaska,19764,,37,36,
3/14/2019,College Savings,College Savings,CS John Hancock,106196,,285,260,
3/14/2019,College Savings,College Savings,CS Maryland,96820,,247,201,
3/14/2019,College Savings,College Savings,CS National,42275,,98,77,
3/14/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/14/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/14/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/14/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/14/2019,II Services and Operations,RIS,RIS,925972,,2028,2039,
3/14/2019,II Services and Operations,RCS PHONES,RCS PHONES,223468,,361,400,
3/14/2019,II Services and Operations,SCS,BRO,261705,,491,479,
3/14/2019,II Services and Operations,SCS,PSG,630120,,932,1073,
3/14/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/15/2019,WISE,WISE,WISE Contractual,2770460,,5183,5114,
3/15/2019,College Savings,College Savings,CS Alaska,20951,,41,30,
3/15/2019,College Savings,College Savings,CS John Hancock,95425,,290,247,
3/15/2019,College Savings,College Savings,CS Maryland,96579,,222,231,
3/15/2019,College Savings,College Savings,CS National,44394,,98,85,
3/15/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/15/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/15/2019,College Savings,CS - Direct Sold,CS National,,,,,
