ACTIVITY DATE,DIVISION,BUSINESS UNIT,BUSINESS LINE,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST,
1/16/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
1/16/2016,College Savings,College Savings,CS Maryland,0,,0,0,
1/16/2016,College Savings,College Savings,CS National,0,,0,0,
1/16/2016,II Services and Operations,RIS,RIS,530375,,967,1056,
1/16/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
1/16/2016,II Services and Operations,SCS,BRO,0,,0,0,
1/16/2016,II Services and Operations,SCS,PSG,0,,0,0,
1/17/2016,WISE,WISE,WISE Contractual,0,,0,0,
1/17/2016,College Savings,College Savings,CS Alaska,0,,0,0,
1/17/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
1/17/2016,College Savings,College Savings,CS Maryland,0,,0,0,
1/17/2016,College Savings,College Savings,CS National,0,,0,0,
1/17/2016,II Services and Operations,RIS,RIS,0,,0,0,
1/17/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
1/17/2016,II Services and Operations,SCS,BRO,0,,0,0,
1/17/2016,II Services and Operations,SCS,PSG,0,,0,0,
1/18/2016,WISE,WISE,WISE Contractual,2738411,,4359,4998,
1/18/2016,College Savings,College Savings,CS Alaska,21898,,45,43,
1/18/2016,College Savings,College Savings,CS John Hancock,90322,,201,277,
1/18/2016,College Savings,College Savings,CS Maryland,156420,,280,263,
1/18/2016,College Savings,College Savings,CS National,67210,,132,117,
1/18/2016,II Services and Operations,RIS,RIS,1291907,,2000,2162,
1/18/2016,II Services and Operations,RCS PHONES,RCS PHONES,327414,,555,600,
1/18/2016,II Services and Operations,SCS,BRO,0,,0,0,
1/18/2016,II Services and Operations,SCS,PSG,373897,,538,719,
1/19/2016,WISE,WISE,WISE Contractual,5131116,,7993,9122,
1/19/2016,College Savings,College Savings,CS Alaska,117698,,161,106,
1/19/2016,College Savings,College Savings,CS John Hancock,326009,,709,692,
1/19/2016,College Savings,College Savings,CS Maryland,303192,,486,659,
1/19/2016,College Savings,College Savings,CS National,134206,,233,293,
1/19/2016,II Services and Operations,RIS,RIS,2607492,,4101,4297,
1/19/2016,II Services and Operations,RCS PHONES,RCS PHONES,555402,,970,1164,
1/19/2016,II Services and Operations,SCS,BRO,430277,,633,629,
1/19/2016,II Services and Operations,SCS,PSG,871141,,1164,1382,
1/20/2016,WISE,WISE,WISE Contractual,5188922,,7847,7916,
1/20/2016,College Savings,College Savings,CS Alaska,67103,,106,81,
1/20/2016,College Savings,College Savings,CS John Hancock,268631,,572,527,
1/20/2016,College Savings,College Savings,CS Maryland,226681,,411,501,
1/20/2016,College Savings,College Savings,CS National,113209,,194,223,
1/20/2016,II Services and Operations,RIS,RIS,2625571,,4197,4047,
1/20/2016,II Services and Operations,RCS PHONES,RCS PHONES,590673,,987,1051,
1/20/2016,II Services and Operations,SCS,BRO,443594,,609,502,
1/20/2016,II Services and Operations,SCS,PSG,914491,,1254,1279,
1/21/2016,WISE,WISE,WISE Contractual,4431210,,6841,7332,
1/21/2016,College Savings,College Savings,CS Alaska,47381,,82,73,
1/21/2016,College Savings,College Savings,CS John Hancock,218971,,557,476,
1/21/2016,College Savings,College Savings,CS Maryland,167523,,364,453,
1/21/2016,College Savings,College Savings,CS National,101773,,189,201,
1/21/2016,II Services and Operations,RIS,RIS,2057512,,3405,3723,
1/21/2016,II Services and Operations,RCS PHONES,RCS PHONES,456212,,774,943,
1/21/2016,II Services and Operations,SCS,BRO,274010,,439,441,
1/21/2016,II Services and Operations,SCS,PSG,690763,,953,1127,
1/22/2016,WISE,WISE,WISE Contractual,3891583,,5995,7154,
1/22/2016,College Savings,College Savings,CS Alaska,41178,,67,70,
1/22/2016,College Savings,College Savings,CS John Hancock,193265,,420,454,
1/22/2016,College Savings,College Savings,CS Maryland,136908,,265,432,
1/22/2016,College Savings,College Savings,CS National,83932,,159,192,
1/22/2016,II Services and Operations,RIS,RIS,1875761,,2992,3789,
1/22/2016,II Services and Operations,RCS PHONES,RCS PHONES,418383,,683,911,
1/22/2016,II Services and Operations,SCS,BRO,305999,,424,473,
1/22/2016,II Services and Operations,SCS,PSG,643988,,815,1178,
1/23/2016,WISE,WISE,WISE Contractual,0,,0,0,
1/23/2016,College Savings,College Savings,CS Alaska,0,,0,0,
1/23/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
1/23/2016,College Savings,College Savings,CS Maryland,0,,0,0,
1/23/2016,College Savings,College Savings,CS National,0,,0,0,
1/23/2016,II Services and Operations,RIS,RIS,453668,,835,1117,
1/23/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
1/23/2016,II Services and Operations,SCS,BRO,0,,0,0,
1/23/2016,II Services and Operations,SCS,PSG,0,,0,0,
1/24/2016,WISE,WISE,WISE Contractual,0,,0,0,
1/24/2016,College Savings,College Savings,CS Alaska,0,,0,0,
1/24/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
1/24/2016,College Savings,College Savings,CS Maryland,0,,0,0,
1/24/2016,College Savings,College Savings,CS National,0,,0,0,
1/24/2016,II Services and Operations,RIS,RIS,0,,0,0,
1/24/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
1/24/2016,II Services and Operations,SCS,BRO,0,,0,0,
1/24/2016,II Services and Operations,SCS,PSG,0,,0,0,
1/25/2016,WISE,WISE,WISE Contractual,5008026,,8152,8938,
1/25/2016,College Savings,College Savings,CS Alaska,62704,,109,97,
1/25/2016,College Savings,College Savings,CS John Hancock,270504,,594,583,
1/25/2016,College Savings,College Savings,CS Maryland,177634,,310,539,
1/25/2016,College Savings,College Savings,CS National,108129,,195,230,
1/25/2016,II Services and Operations,RIS,RIS,2315550,,3887,4283,
1/25/2016,II Services and Operations,RCS PHONES,RCS PHONES,455924,,791,1027,
1/25/2016,II Services and Operations,SCS,BRO,328387,,487,622,
1/25/2016,II Services and Operations,SCS,PSG,761345,,954,1390,
1/26/2016,WISE,WISE,WISE Contractual,4132561,,6454,7275,
1/26/2016,College Savings,College Savings,CS Alaska,42722,,81,88,
1/26/2016,College Savings,College Savings,CS John Hancock,199275,,437,527,
1/26/2016,College Savings,College Savings,CS Maryland,185826,,334,487,
1/26/2016,College Savings,College Savings,CS National,84709,,151,207,
1/26/2016,II Services and Operations,RIS,RIS,2146729,,3389,3912,
1/26/2016,II Services and Operations,RCS PHONES,RCS PHONES,457045,,702,916,
1/26/2016,II Services and Operations,SCS,BRO,331888,,472,512,
1/26/2016,II Services and Operations,SCS,PSG,671190,,905,1145,
1/27/2016,WISE,WISE,WISE Contractual,4131370,,6509,6734,
1/27/2016,College Savings,College Savings,CS Alaska,59913,,103,76,
1/27/2016,College Savings,College Savings,CS John Hancock,209072,,431,457,
1/27/2016,College Savings,College Savings,CS Maryland,191157,,354,423,
1/27/2016,College Savings,College Savings,CS National,78254,,140,180,
1/27/2016,II Services and Operations,RIS,RIS,1872722,,3151,3741,
1/27/2016,II Services and Operations,RCS PHONES,RCS PHONES,404264,,647,809,
1/27/2016,II Services and Operations,SCS,BRO,253617,,405,463,
1/27/2016,II Services and Operations,SCS,PSG,624036,,834,962,
1/28/2016,WISE,WISE,WISE Contractual,3759388,,5897,6569,
1/28/2016,College Savings,College Savings,CS Alaska,50197,,72,67,
1/28/2016,College Savings,College Savings,CS John Hancock,209433,,438,405,
1/28/2016,College Savings,College Savings,CS Maryland,166440,,312,374,
1/28/2016,College Savings,College Savings,CS National,67153,,132,159,
1/28/2016,II Services and Operations,RIS,RIS,1837726,,3075,3564,
1/28/2016,II Services and Operations,RCS PHONES,RCS PHONES,364891,,614,877,
1/28/2016,II Services and Operations,SCS,BRO,248950,,396,367,
1/28/2016,II Services and Operations,SCS,PSG,574185,,822,872,
1/29/2016,WISE,WISE,WISE Contractual,3890319,,6260,6556,
1/29/2016,College Savings,College Savings,CS Alaska,41452,,76,67,
1/29/2016,College Savings,College Savings,CS John Hancock,160762,,393,401,
1/29/2016,College Savings,College Savings,CS Maryland,179691,,339,371,
1/29/2016,College Savings,College Savings,CS National,97661,,163,158,
1/29/2016,II Services and Operations,RIS,RIS,2051000,,3462,3657,
1/29/2016,II Services and Operations,RCS PHONES,RCS PHONES,366802,,646,871,
1/29/2016,II Services and Operations,SCS,BRO,287251,,430,422,
1/29/2016,II Services and Operations,SCS,PSG,666059,,909,923,
1/30/2016,WISE,WISE,WISE Contractual,0,,0,0,
1/30/2016,College Savings,College Savings,CS Alaska,0,,0,0,
1/30/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
1/30/2016,College Savings,College Savings,CS Maryland,0,,0,0,
1/30/2016,College Savings,College Savings,CS National,0,,0,0,
1/30/2016,II Services and Operations,RIS,RIS,580774,,1189,1227,
1/30/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
1/30/2016,II Services and Operations,SCS,BRO,0,,0,0,
1/30/2016,II Services and Operations,SCS,PSG,0,,0,0,
1/31/2016,WISE,WISE,WISE Contractual,0,,0,0,
1/31/2016,College Savings,College Savings,CS Alaska,0,,0,0,
1/31/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
1/31/2016,College Savings,College Savings,CS Maryland,0,,0,0,
1/31/2016,College Savings,College Savings,CS National,0,,0,0,
1/31/2016,II Services and Operations,RIS,RIS,0,,0,0,
1/31/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
1/31/2016,II Services and Operations,SCS,BRO,0,,0,0,
1/31/2016,II Services and Operations,SCS,PSG,0,,0,0,
2/1/2016,WISE,WISE,WISE Contractual,4963494,,9083,9037,
2/1/2016,College Savings,College Savings,CS Alaska,56923,,114,91,
2/1/2016,College Savings,College Savings,CS John Hancock,244250,,571,635,
2/1/2016,College Savings,College Savings,CS Maryland,276673,,569,503,
2/1/2016,College Savings,College Savings,CS National,110674,,217,248,
2/1/2016,II Services and Operations,RIS,RIS,2695765,,6381,4287,
2/1/2016,II Services and Operations,RCS PHONES,RCS PHONES,494716,,937,916,
2/1/2016,II Services and Operations,SCS,BRO,328732,,579,593,
2/1/2016,II Services and Operations,SCS,PSG,935798,,1579,1242,
2/2/2016,WISE,WISE,WISE Contractual,4309314,,7013,7117,
2/2/2016,College Savings,College Savings,CS Alaska,35018,,87,70,
2/2/2016,College Savings,College Savings,CS John Hancock,174100,,445,488,
2/2/2016,College Savings,College Savings,CS Maryland,178057,,406,387,
2/2/2016,College Savings,College Savings,CS National,83084,,192,191,
2/2/2016,II Services and Operations,RIS,RIS,2899657,,5721,3849,
2/2/2016,II Services and Operations,RCS PHONES,RCS PHONES,453084,,815,827,
2/2/2016,II Services and Operations,SCS,BRO,290557,,533,555,
2/2/2016,II Services and Operations,SCS,PSG,794094,,1341,1110,
2/3/2016,WISE,WISE,WISE Contractual,4373160,,6372,6150,
2/3/2016,College Savings,College Savings,CS Alaska,40251,,65,64,
2/3/2016,College Savings,College Savings,CS John Hancock,197438,,469,443,
2/3/2016,College Savings,College Savings,CS Maryland,146572,,293,351,
2/3/2016,College Savings,College Savings,CS National,62754,,122,173,
2/3/2016,II Services and Operations,RIS,RIS,2690482,,4185,3421,
2/3/2016,II Services and Operations,RCS PHONES,RCS PHONES,397709,,681,773,
2/3/2016,II Services and Operations,SCS,BRO,324374,,477,517,
2/3/2016,II Services and Operations,SCS,PSG,755111,,1004,985,
2/4/2016,WISE,WISE,WISE Contractual,3746507,,5622,6046,
2/4/2016,College Savings,College Savings,CS Alaska,30536,,68,55,
2/4/2016,College Savings,College Savings,CS John Hancock,177308,,376,382,
2/4/2016,College Savings,College Savings,CS Maryland,134361,,266,303,
2/4/2016,College Savings,College Savings,CS National,73616,,147,150,
2/4/2016,II Services and Operations,RIS,RIS,2317669,,3629,3200,
